Date	Sunhours
2005-05-16	18.23
2005-05-17	18.33
2005-05-18	18.43
2005-05-19	18.53
2005-05-20	18.62
2005-05-21	18.72
2005-05-22	18.82
2005-05-23	18.91
2005-05-24	19.00
2005-05-25	19.09
2005-05-26	19.18
2005-05-27	19.27
2005-05-28	19.36
2005-05-29	19.45
2005-05-30	19.53
2005-05-31	19.61
2005-06-01	19.69
2005-06-02	19.77
2005-06-03	19.84
2005-06-04	19.91
2005-06-05	19.98
2005-06-06	20.05
2005-06-07	20.11
2005-06-08	20.17
2005-06-09	20.23
2005-06-10	20.28
2005-06-11	20.33
2005-06-12	20.37
2005-06-13	20.41
2005-06-14	20.45
2005-06-15	20.48
2005-06-16	20.50
2005-06-17	20.53
2005-06-18	20.54
2005-06-19	20.55
2005-06-20	20.56
2005-06-21	20.56
2005-06-22	20.56
2005-06-23	20.55
2005-06-24	20.54
2005-06-25	20.52
2005-06-26	20.50
2005-06-27	20.47
2005-06-28	20.44
2005-06-29	20.40
2005-06-30	20.36
2005-07-01	20.31
2005-07-02	20.26
2005-07-03	20.21
2005-07-04	20.15
2005-07-05	20.09
2005-07-06	20.03
2005-07-07	19.96
2005-07-08	19.89
2005-07-09	19.82
2005-07-10	19.75
2005-07-11	19.67
2005-07-12	19.59
2005-07-13	19.51
2005-07-14	19.43
2005-07-15	19.34
2005-07-16	19.25
2005-07-17	19.17
2005-07-18	19.08
2005-07-19	18.98
2005-07-20	18.89
2005-07-21	18.80
2005-07-22	18.70
2005-07-23	18.61
2005-07-24	18.51
2005-07-25	18.41
2005-07-26	18.31
2005-07-27	18.21
2005-07-28	18.11
2005-07-29	18.01
2005-07-30	17.91
2005-07-31	17.81
2005-08-01	17.71
2005-08-02	17.61
2005-08-03	17.50
2005-08-04	17.40
2005-08-05	17.30
2005-08-06	17.20
2005-08-07	17.09
2005-08-08	16.99
2005-08-09	16.88
2005-08-10	16.78
2005-08-11	16.67
2005-08-12	16.57
2005-08-13	16.47
2005-08-14	16.36
2005-08-15	16.26
2005-08-16	16.15
2005-08-17	16.05
2005-08-18	15.94
2005-08-19	15.84
2005-08-20	15.73
2005-08-21	15.63
2005-08-22	15.52
2005-08-23	15.42
2005-08-24	15.31
2005-08-25	15.21
2005-08-26	15.10
2005-08-27	15.00
2005-08-28	14.89
2005-08-29	14.79
2005-08-30	14.69
2005-08-31	14.58
2005-09-01	14.48
2005-09-02	14.37
2005-09-03	14.27
2005-09-04	14.16
2005-09-05	14.06
2005-09-06	13.96
2005-09-07	13.85
2005-09-08	13.75
